Tipologia;Progressivo;STR;Centro Costo;Denominazione Strada;Localizzazione Strada ¹;Comune/i attraversati ¹;Pertinenze;Sviluppo km ¹;Descrizione sintetica Strada;Scheda;
SP;083;SP_083;3.1.2;S.P. n°  83 Bivio SS 126 (Fontanamare) - Bivio SS 126 (Fluminimaggiore);https://www.google.com/maps/dir/39.2778809,8.4681048/39.4530741,8.4794568/@39.3598539,8.4847317,32295m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Gonnesa, Iglesias, Buggerru, Fluminimaggiore;;37.438;;;
SP;084;SP_084;3.1.3;S.P. n°  84 Bivio SS126 (Bindua) - Bivio SS 126 (Iglesias);https://www.google.com/maps/dir/39.3200739,8.5326892/39.2965817,8.4975984/@39.296386,8.4976278,8562m/data=!3m1!1e3!4m9!4m8!1m5!3m4!1m2!1d8.4978517!2d39.2967592!3s0x12e70a63a7f64ee7:0x23867f4ae4bba2e1!1m0!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Iglesias;;6.860;;;
SP;085;SP_085;3.1.4;S.P. n°  85 Iglesias -Bivio S.P. 2 - Guardi Gibara (Terreseo);https://www.google.com/maps/dir/39.2996914,8.5647639/39.2030893,8.6321224/@39.2538727,8.5912006,12836m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Iglesias, Narcao;;17.630;;;
SP;086;SP_086;3.1.5;S.P. n°  86 Iglesias (Zona Ind.) - Villamassargia - Domusnovas (SS 130);https://www.google.com/maps/dir/39.2909907,8.5878264/39.3194824,8.6429768/@39.2993303,8.5774019,12107m/am=t/data=!3m1!1e3!4m6!4m5!3e0!6m3!1i0!2i0!3i3?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Iglesias, Villamassargia, Domusnovas;;9.315;;;
SP;087;SP_087;3.1.7;S.P. n°  87 Bivio  S.P.  86 (Cettolini Villamassargia) - Musei;https://www.google.com/maps/dir/39.2964159,8.6412774/39.315106,8.6555519/@39.301458,8.6351925,8561m/data=!3m1!1e3!4m14!4m13!1m10!3m4!1m2!1d8.651371!2d39.2949457!3s0x12e70d7bb0e97ead:0x328818493d87debc!3m4!1m2!1d8.6555948!2d39.3150486!3s0x12e70d59361ea505:0x9652eda44df2ddde!1m0!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Villamassargia, Musei;;4.470;;;
SP;088;SP_088;3.1.8;S.P. n°  88 Bivio S.P. 2 - Bivio SS 130 Bivio  S.P. 89 ;https://www.google.com/maps/dir/39.2664202,8.7347244/39.2810785,8.7353051/@39.2766532,8.7226447,9613m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Villamassargia  ;;1.650;;;
SP;089;SP_089;3.1.10;S.P. n°  89 Bivio  SS 293 (Vallermosa) - Domusnovas (Grotte) - Bivio SS 126 - S. Benedetto;https://www.google.com/maps/dir/39.3328986,8.7023251/39.3583512,8.618351/@39.3440771,8.6413524,13581m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Domusnovas, Musei, Iglesias (exclave);;10.990;;;
SP;089_2;SP_089_2;3.1.10;Bivio SS 126 - S. Benedetto;https://www.google.com/maps/dir/39.358923,8.5266064/39.3452375,8.5206477/@39.3601762,8.5269175,849m/data=!3m1!1e3!4m9!4m8!1m5!3m4!1m2!1d8.5265146!2d39.3589451!3s0x12e775204dab7c0d:0xe71a24760ae23c77!1m0!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Iglesias ;;;;;
SP;100;SP_100;3.2.17;S.P. n°  100 Bivio SS 195 - Portobotte;https://www.google.com/maps/dir/39.0528467,8.5643566/39.0443163,8.5665954/@39.0546302,8.56308,2706m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;San Giovanni Suergiu   ;;1.015;;;
SP;105;SP_105;3.1.9;S.P. n°  105 Bivio S.P. 83 - Capo pecora;https://www.google.com/maps/dir/39.4391715,8.4169084/39.4494498,8.3974445/@39.4475299,8.4058295,3490m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Fluminimaggiore ;;2.900;;;
SP;107;SP_107;3.2.18;S.P. n°  107 Bivio S.P. 78 (Perdaxius) - Terreseo;https://www.google.com/maps/dir/39.1629946,8.6177271/39.2027675,8.6325726/@39.202166,8.6331057,253m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Narcao, Perdaxius;;5.800;;;
SP;108;SP_108;3.1.10;S.P. n°  108 SS 126 (Gonnesa) - S.P. 2 (Portoscuso);https://www.google.com/maps/dir/39.2549702,8.4586251/39.2122936,8.3937986/@39.2388084,8.3990127,8820m/data=!3m1!1e3!4m9!4m8!1m5!3m4!1m2!1d8.3938201!2d39.2122985!3s0x12e7a5d8551f310f:0x1e3a904dece424b!1m0!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Gonnesa, Portoscuso;;10.350;;;
SP;109;SP_109;3.2.19;S.P. n°  109 Bivio S.P. 73 - SS 195 (Case Brau);https://www.google.com/maps/dir/39.0136931,8.6003585/39.0194701,8.6373372/@39.023524,8.6423261,9373m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Sant'Anna Arresi, Masainas;;3.360;;;
SP;110;SP_110;3.2.20;S.P. n°  110 Bivio S.P. 73 (Bivio Is Pillonis) - SS 195 (Case Brau) - Portopino;https://www.google.com/maps/dir/38.9786294,8.616109/38.965711,8.5957435/@38.9805217,8.6372138,13263m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Sant'Anna Arresi   ;;2.300;;;
CIRC. DOM.;Circonavallazione Domusnovas;;;;;;;1.400;;;
PISTA CICLABILE;Pista ciclabile Carbonia - S. Antioco;;;;;;;13.850;;;
